country,passengers_total,freight_total_tonnes,mail_total_tonnes,route,month_year_dt
New Zealand,1124,81.175,2.322,Adelaide-Auckland,1988-08-01
Bahrain,27,0.716,0.0,Adelaide-Bahrain,1988-08-01
Thailand,39,0.0,0.0,Adelaide-Bangkok,1988-08-01
India,8,0.016,0.0,Adelaide-Bombay,1988-08-01
New Zealand,5,0.0,0.0,Adelaide-Christchurch,1988-08-01
Germany,206,0.357,0.0,Adelaide-Frankfurt,1988-08-01
Hong Kong,81,0.0,0.0,Adelaide-Hong Kong,1988-08-01
Usa,116,0.0,0.0,Adelaide-Honolulu,1988-08-01
Uk,2485,75.022,6.872,Adelaide-London,1988-08-01
Usa,146,0.0,0.0,Adelaide-Los Angeles,1988-08-01
Uk,160,0.0,0.186,Adelaide-Manchester,1988-08-01
Tahiti,2,0.0,0.0,Adelaide-Papeete,1988-08-01
Italy,88,7.907,0.0,Adelaide-Rome,1988-08-01
Usa,85,0.0,0.0,Adelaide-San Francisco,1988-08-01
Singapore,6767,383.81,4.12,Adelaide-Singapore,1988-08-01
Japan,5,0.0,0.0,Adelaide-Tokyo,1988-08-01
United Arab Emirates,20,3.3,0.0,Brisbane-Abu Dhabi,1988-08-01
Netherlands,122,0.0,0.0,Brisbane-Amsterdam,1988-08-01
Greece,191,0.0,0.0,Brisbane-Athens,1988-08-01
New Zealand,29857,572.263,19.352,Brisbane-Auckland,1988-08-01
Bahrain,43,0.407,0.0,Brisbane-Bahrain,1988-08-01
Thailand,1582,38.813,0.0,Brisbane-Bangkok,1988-08-01
India,31,8.445,0.045,Brisbane-Bombay,1988-08-01
New Zealand,12572,277.684,2.621,Brisbane-Christchurch,1988-08-01
Indonesia,1,0.0,0.0,Brisbane-Denpasar,1988-08-01
Germany,427,0.119,0.0,Brisbane-Frankfurt,1988-08-01
Hong Kong,5591,95.508,0.911,Brisbane-Hong Kong,1988-08-01
Solomon Islands,1450,18.46,3.276,Brisbane-Honiara,1988-08-01
Usa,1128,35.019,0.0,Brisbane-Honolulu,1988-08-01
Indonesia,58,0.0,0.0,Brisbane-Jakarta,1988-08-01
Malaysia,30,0.0,0.0,Brisbane-Kuala Lumpur,1988-08-01
Uk,3855,39.596,18.058,Brisbane-London,1988-08-01
Usa,1691,0.915,0.0,Brisbane-Los Angeles,1988-08-01
Uk,230,0.113,0.225,Brisbane-Manchester,1988-08-01
Philippines,1542,32.59,0.106,Brisbane-Manila,1988-08-01
Fiji,1811,22.778,0.633,Brisbane-Nadi,1988-08-01
Japan,1646,63.217,0.0,Brisbane-Nagoya,1988-08-01
Usa,1,0.0,0.0,Brisbane-New York,1988-08-01
New Caledonia,1108,0.337,0.0,Brisbane-Noumea,1988-08-01
Papua New Guinea,3832,71.99,11.828,Brisbane-Port Moresby,1988-08-01
Vanuatu,709,8.255,0.406,Brisbane-Port Vila,1988-08-01
Italy,144,0.0,0.0,Brisbane-Rome,1988-08-01
Usa,754,0.065,0.0,Brisbane-San Francisco,1988-08-01
Singapore,10275,420.589,6.348,Brisbane-Singapore,1988-08-01
Fiji,231,1.149,0.0,Brisbane-Suva,1988-08-01
Japan,10700,282.79,2.951,Brisbane-Tokyo,1988-08-01
Canada,603,26.611,1.038,Brisbane-Vancouver,1988-08-01
New Zealand,6718,175.27,2.407,Brisbane-Wellington,1988-08-01
Greece,24,0.0,0.0,Cairns-Athens,1988-08-01
New Zealand,1760,53.534,0.277,Cairns-Auckland,1988-08-01
Bahrain,6,0.0,0.0,Cairns-Bahrain,1988-08-01
Thailand,479,1.923,0.21,Cairns-Bangkok,1988-08-01
India,1,0.0,0.0,Cairns-Bombay,1988-08-01
New Zealand,1768,22.392,0.0,Cairns-Christchurch,1988-08-01
Hong Kong,38,0.0,0.0,Cairns-Hong Kong,1988-08-01
Usa,1363,3.347,0.041,Cairns-Honolulu,1988-08-01
Uk,589,0.2,0.497,Cairns-London,1988-08-01
Usa,1509,0.533,0.0,Cairns-Los Angeles,1988-08-01
Papua New Guinea,3047,67.179,1.762,Cairns-Port Moresby,1988-08-01
Italy,140,0.0,0.0,Cairns-Rome,1988-08-01
Usa,1673,0.0,0.671,Cairns-San Francisco,1988-08-01
Singapore,1628,17.851,0.067,Cairns-Singapore,1988-08-01
Japan,2296,10.166,0.09,Cairns-Tokyo,1988-08-01
Canada,680,29.382,0.068,Cairns-Vancouver,1988-08-01
New Zealand,6,0.0,0.0,Cairns-Wellington,1988-08-01
Greece,45,0.0,0.0,Darwin-Athens,1988-08-01
New Zealand,171,17.466,0.034,Darwin-Auckland,1988-08-01
Bahrain,6,0.0,0.0,Darwin-Bahrain,1988-08-01
Brunei,1227,19.044,0.0,Darwin-Bandar Seri Begawan,1988-08-01
Thailand,25,0.32,0.0,Darwin-Bangkok,1988-08-01
India,1,0.0,0.0,Darwin-Bombay,1988-08-01
Indonesia,1255,1.789,0.035,Darwin-Denpasar,1988-08-01
Germany,178,0.032,0.0,Darwin-Frankfurt,1988-08-01
Indonesia,99,0.043,0.029,Darwin-Jakarta,1988-08-01
Indonesia,891,0.631,0.0,Darwin-Kupang,1988-08-01
Uk,351,1.485,0.582,Darwin-London,1988-08-01
Uk,10,0.0,0.026,Darwin-Manchester,1988-08-01
Italy,126,0.0,0.0,Darwin-Rome,1988-08-01
Singapore,2882,110.927,0.215,Darwin-Singapore,1988-08-01
Japan,1,0.0,0.0,Darwin-Tokyo,1988-08-01
New Zealand,385,2.863,0.0,Hobart-Auckland,1988-08-01
New Zealand,655,4.917,0.055,Hobart-Christchurch,1988-08-01
United Arab Emirates,200,58.1,0.078,Melbourne-Abu Dhabi,1988-08-01
Netherlands,1388,5.511,5.306,Melbourne-Amsterdam,1988-08-01
Greece,3714,15.523,7.008,Melbourne-Athens,1988-08-01
New Zealand,14503,867.988,21.661,Melbourne-Auckland,1988-08-01
Bahrain,135,7.806,2.22,Melbourne-Bahrain,1988-08-01
Thailand,6749,275.002,14.987,Melbourne-Bangkok,1988-08-01
Yugoslavia,2099,64.355,2.896,Melbourne-Belgrade,1988-08-01
India,179,25.543,0.492,Melbourne-Bombay,1988-08-01
New Zealand,6903,322.985,4.502,Melbourne-Christchurch,1988-08-01
Sri Lanka,2,0.053,0.012,Melbourne-Colombo,1988-08-01
Indonesia,7546,14.406,3.481,Melbourne-Denpasar,1988-08-01
United Arab Emirates,26,135.067,0.074,Melbourne-Dubai,1988-08-01
Germany,3435,709.77,45.768,Melbourne-Frankfurt,1988-08-01
Hong Kong,13593,879.617,20.177,Melbourne-Hong Kong,1988-08-01
Usa,6547,208.351,15.85,Melbourne-Honolulu,1988-08-01
Indonesia,1646,206.294,2.056,Melbourne-Jakarta,1988-08-01
Malaysia,4773,193.084,4.98,Melbourne-Kuala Lumpur,1988-08-01
Uk,7120,229.657,55.628,Melbourne-London,1988-08-01
Usa,7225,885.318,20.374,Melbourne-Los Angeles,1988-08-01
Uk,410,0.959,1.765,Melbourne-Manchester,1988-08-01
Philippines,3099,145.621,1.73,Melbourne-Manila,1988-08-01
Fiji,4362,68.227,1.926,Melbourne-Nadi,1988-08-01
Japan,723,3.034,0.075,Melbourne-Nagoya,1988-08-01
Nauru,0,0.0,0.0,Melbourne-Nauru,1988-08-01
Usa,131,0.0,0.0,Melbourne-New York,1988-08-01
New Caledonia,140,7.826,0.016,Melbourne-Noumea,1988-08-01
Tahiti,472,24.814,0.0,Melbourne-Papeete,1988-08-01
Papua New Guinea,42,0.0,0.0,Melbourne-Port Moresby,1988-08-01
Italy,3611,145.502,3.629,Melbourne-Rome,1988-08-01
Usa,2106,149.708,16.59,Melbourne-San Francisco,1988-08-01
Singapore,17487,823.261,34.881,Melbourne-Singapore,1988-08-01
Japan,3279,275.967,23.462,Melbourne-Tokyo,1988-08-01
Canada,655,1.365,1.147,Melbourne-Vancouver,1988-08-01
New Zealand,3444,160.467,3.964,Melbourne-Wellington,1988-08-01
New Zealand,2245,8.668,1.108,Norfolk Island-Auckland,1988-08-01
United Arab Emirates,27,8.8,0.0,Perth-Abu Dhabi,1988-08-01
Netherlands,112,1.788,0.089,Perth-Amsterdam,1988-08-01
Greece,216,0.0,0.0,Perth-Athens,1988-08-01
New Zealand,5658,156.601,7.857,Perth-Auckland,1988-08-01
Bahrain,62,10.732,0.0,Perth-Bahrain,1988-08-01
Thailand,2652,47.736,0.601,Perth-Bangkok,1988-08-01
India,71,0.555,0.112,Perth-Bombay,1988-08-01
New Zealand,490,1.7,0.1,Perth-Christchurch,1988-08-01
Indonesia,7078,30.334,0.032,Perth-Denpasar,1988-08-01
Germany,482,0.227,0.316,Perth-Frankfurt,1988-08-01
Zimbabwe,1113,9.363,0.335,Perth-Harare,1988-08-01
Hong Kong,3997,95.363,1.094,Perth-Hong Kong,1988-08-01
Usa,246,0.0,0.0,Perth-Honolulu,1988-08-01
Indonesia,740,18.742,0.226,Perth-Jakarta,1988-08-01
Malaysia,5162,288.555,3.493,Perth-Kuala Lumpur,1988-08-01
Uk,5821,76.959,20.375,Perth-London,1988-08-01
Usa,428,0.0,0.0,Perth-Los Angeles,1988-08-01
Uk,312,0.038,0.829,Perth-Manchester,1988-08-01
Fiji,1,0.0,0.0,Perth-Nadi,1988-08-01
Italy,434,0.226,0.167,Perth-Rome,1988-08-01
Usa,174,0.0,0.352,Perth-San Francisco,1988-08-01
Singapore,19345,1064.53,14.143,Perth-Singapore,1988-08-01
Japan,1514,22.643,1.382,Perth-Tokyo,1988-08-01
Canada,64,0.0,0.0,Perth-Vancouver,1988-08-01
Indonesia,468,0.0,0.0,Port Hedland-Denpasar,1988-08-01
Indonesia,4,0.0,0.0,Port Hedland-Jakarta,1988-08-01
United Arab Emirates,718,50.042,0.136,Sydney-Abu Dhabi,1988-08-01
Netherlands,1386,10.083,2.89,Sydney-Amsterdam,1988-08-01
Western Samoa,615,5.25,0.359,Sydney-Apia,1988-08-01
Greece,4073,37.066,30.677,Sydney-Athens,1988-08-01
New Zealand,69219,2596.53,83.823,Sydney-Auckland,1988-08-01
Bahrain,290,11.578,1.4,Sydney-Bahrain,1988-08-01
Thailand,9941,348.453,25.237,Sydney-Bangkok,1988-08-01
China,2233,50.665,0.0,Sydney-Beijing,1988-08-01
Yugoslavia,2607,58.075,3.261,Sydney-Belgrade,1988-08-01
India,2529,68.982,1.725,Sydney-Bombay,1988-08-01
New Zealand,18646,505.627,11.062,Sydney-Christchurch,1988-08-01
Sri Lanka,2,0.002,0.023,Sydney-Colombo,1988-08-01
Indonesia,8395,74.527,0.978,Sydney-Denpasar,1988-08-01
United Arab Emirates,142,35.807,0.087,Sydney-Dubai,1988-08-01
Germany,5051,299.056,50.623,Sydney-Frankfurt,1988-08-01
Zimbabwe,1364,54.395,0.76,Sydney-Harare,1988-08-01
Hong Kong,25786,999.863,8.791,Sydney-Hong Kong,1988-08-01
Usa,22561,340.048,61.815,Sydney-Honolulu,1988-08-01
Indonesia,4068,287.346,5.749,Sydney-Jakarta,1988-08-01
Malaysia,4941,283.178,13.904,Sydney-Kuala Lumpur,1988-08-01
Uk,14219,527.926,92.886,Sydney-London,1988-08-01
Usa,21462,1647.87,54.153,Sydney-Los Angeles,1988-08-01
Uk,633,3.259,4.089,Sydney-Manchester,1988-08-01
Philippines,5867,269.661,7.124,Sydney-Manila,1988-08-01
Fiji,9816,289.369,8.746,Sydney-Nadi,1988-08-01
Japan,3255,2.007,0.088,Sydney-Nagoya,1988-08-01
Nauru,0,0.0,0.0,Sydney-Nauru,1988-08-01
India,2055,60.882,0.369,Sydney-New Delhi,1988-08-01
Usa,449,0.0,0.0,Sydney-New York,1988-08-01
New Caledonia,4207,106.471,5.138,Sydney-Noumea,1988-08-01
American Samoa,724,7.366,0.098,Sydney-Pago Pago,1988-08-01
Tahiti,3484,40.016,1.785,Sydney-Papeete,1988-08-01
France,478,38.818,0.613,Sydney-Paris,1988-08-01
Papua New Guinea,3278,135.09,27.398,Sydney-Port Moresby,1988-08-01
Vanuatu,1122,10.725,0.84,Sydney-Port Vila,1988-08-01
Cook Islands,350,0.338,0.096,Sydney-Rarotonga,1988-08-01
Italy,4124,88.59,6.349,Sydney-Rome,1988-08-01
Usa,10746,331.287,42.979,Sydney-San Francisco,1988-08-01
Singapore,28745,1300.905,48.341,Sydney-Singapore,1988-08-01
Japan,38007,1841.201,86.516,Sydney-Tokyo,1988-08-01
Canada,1156,88.886,0.15,Sydney-Toronto,1988-08-01
Canada,2662,63.54,9.348,Sydney-Vancouver,1988-08-01
Austria,1141,21.86,0.0,Sydney-Vienna,1988-08-01
New Zealand,12565,435.247,14.411,Sydney-Wellington,1988-08-01
New Zealand,1277,36.11,0.0,Townsville-Auckland,1988-08-01
Bahrain,5,0.0,0.0,Townsville-Bahrain,1988-08-01
Thailand,15,0.0,0.0,Townsville-Bangkok,1988-08-01
India,1,0.0,0.0,Townsville-Bombay,1988-08-01
Germany,92,0.0,0.0,Townsville-Frankfurt,1988-08-01
Uk,212,0.011,0.0,Townsville-London,1988-08-01
Uk,13,0.0,0.0,Townsville-Manchester,1988-08-01
Fiji,6,0.0,0.0,Townsville-Nadi,1988-08-01
Singapore,529,7.194,0.0,Townsville-Singapore,1988-08-01
United Arab Emirates,4,49.5,0.0,Adelaide-Abu Dhabi,1988-09-01
Netherlands,26,0.0,0.0,Adelaide-Amsterdam,1988-09-01
Greece,43,0.0,0.0,Adelaide-Athens,1988-09-01
New Zealand,1803,99.022,2.369,Adelaide-Auckland,1988-09-01
Bahrain,14,0.796,0.0,Adelaide-Bahrain,1988-09-01
Thailand,38,0.004,0.0,Adelaide-Bangkok,1988-09-01
India,29,0.119,0.0,Adelaide-Bombay,1988-09-01
New Zealand,54,0.0,0.0,Adelaide-Christchurch,1988-09-01
Germany,215,0.008,0.0,Adelaide-Frankfurt,1988-09-01
Hong Kong,119,0.0,0.0,Adelaide-Hong Kong,1988-09-01
Usa,82,0.0,0.0,Adelaide-Honolulu,1988-09-01
Uk,2310,93.109,5.773,Adelaide-London,1988-09-01
Usa,140,0.0,0.0,Adelaide-Los Angeles,1988-09-01
Uk,121,0.006,0.195,Adelaide-Manchester,1988-09-01
Fiji,1,0.0,0.0,Adelaide-Nadi,1988-09-01
Tahiti,8,0.0,0.0,Adelaide-Papeete,1988-09-01
Italy,57,0.94,0.0,Adelaide-Rome,1988-09-01
Usa,80,0.0,0.0,Adelaide-San Francisco,1988-09-01
Singapore,6821,449.574,3.045,Adelaide-Singapore,1988-09-01
Japan,10,0.0,0.0,Adelaide-Tokyo,1988-09-01
United Arab Emirates,25,0.1,0.0,Brisbane-Abu Dhabi,1988-09-01
Netherlands,112,0.1,0.0,Brisbane-Amsterdam,1988-09-01
Greece,151,0.0,0.0,Brisbane-Athens,1988-09-01
New Zealand,30600,487.499,18.121,Brisbane-Auckland,1988-09-01
Bahrain,40,0.056,0.0,Brisbane-Bahrain,1988-09-01
Thailand,2144,83.158,0.0,Brisbane-Bangkok,1988-09-01
India,49,0.018,0.028,Brisbane-Bombay,1988-09-01
New Zealand,11530,298.881,2.888,Brisbane-Christchurch,1988-09-01
Germany,406,0.682,0.0,Brisbane-Frankfurt,1988-09-01
Hong Kong,4866,137.969,0.789,Brisbane-Hong Kong,1988-09-01
Solomon Islands,1801,4.979,1.976,Brisbane-Honiara,1988-09-01
Usa,1113,93.286,0.0,Brisbane-Honolulu,1988-09-01
Indonesia,61,0.0,0.0,Brisbane-Jakarta,1988-09-01
Malaysia,6,0.0,0.0,Brisbane-Kuala Lumpur,1988-09-01
Uk,3470,38.975,14.077,Brisbane-London,1988-09-01
Usa,1664,2.539,0.0,Brisbane-Los Angeles,1988-09-01
Uk,233,0.053,0.21,Brisbane-Manchester,1988-09-01
Philippines,1530,35.805,0.102,Brisbane-Manila,1988-09-01
Fiji,2273,18.775,0.383,Brisbane-Nadi,1988-09-01
Japan,1051,64.216,0.0,Brisbane-Nagoya,1988-09-01
Usa,2,0.0,0.0,Brisbane-New York,1988-09-01
New Caledonia,1237,0.928,0.09,Brisbane-Noumea,1988-09-01
Tahiti,6,0.0,0.0,Brisbane-Papeete,1988-09-01
Papua New Guinea,5216,81.806,12.868,Brisbane-Port Moresby,1988-09-01
Vanuatu,700,7.757,0.256,Brisbane-Port Vila,1988-09-01
Italy,204,4.09,0.0,Brisbane-Rome,1988-09-01
Usa,865,2.416,0.0,Brisbane-San Francisco,1988-09-01
Singapore,10163,447.064,3.81,Brisbane-Singapore,1988-09-01
Fiji,275,2.074,0.0,Brisbane-Suva,1988-09-01
Japan,8522,342.574,6.729,Brisbane-Tokyo,1988-09-01
Canada,637,50.03,1.062,Brisbane-Vancouver,1988-09-01
New Zealand,6335,112.417,3.444,Brisbane-Wellington,1988-09-01
Greece,15,0.0,0.0,Cairns-Athens,1988-09-01
New Zealand,1323,26.49,0.28,Cairns-Auckland,1988-09-01
Thailand,470,0.602,0.181,Cairns-Bangkok,1988-09-01
India,5,0.0,0.0,Cairns-Bombay,1988-09-01
New Zealand,1211,14.429,0.0,Cairns-Christchurch,1988-09-01
Hong Kong,25,0.0,0.0,Cairns-Hong Kong,1988-09-01
Usa,1188,8.58,0.0,Cairns-Honolulu,1988-09-01
Uk,311,0.018,0.323,Cairns-London,1988-09-01
Usa,1669,0.026,0.0,Cairns-Los Angeles,1988-09-01
Papua New Guinea,3372,62.388,1.38,Cairns-Port Moresby,1988-09-01
Italy,84,0.0,0.0,Cairns-Rome,1988-09-01
Usa,1414,0.0,0.79,Cairns-San Francisco,1988-09-01
Singapore,1130,11.184,0.153,Cairns-Singapore,1988-09-01
Japan,1938,1.373,0.066,Cairns-Tokyo,1988-09-01
Canada,978,37.063,0.008,Cairns-Vancouver,1988-09-01
Greece,62,0.0,0.0,Darwin-Athens,1988-09-01
New Zealand,167,8.758,0.049,Darwin-Auckland,1988-09-01
Bahrain,3,0.0,0.0,Darwin-Bahrain,1988-09-01
Brunei,1100,13.175,0.0,Darwin-Bandar Seri Begawan,1988-09-01
Thailand,19,0.0,0.0,Darwin-Bangkok,1988-09-01
India,5,0.0,0.0,Darwin-Bombay,1988-09-01
Indonesia,1374,2.642,0.02,Darwin-Denpasar,1988-09-01
Germany,189,0.0,0.0,Darwin-Frankfurt,1988-09-01
Indonesia,112,0.018,0.015,Darwin-Jakarta,1988-09-01
Indonesia,767,0.18,0.0,Darwin-Kupang,1988-09-01
Uk,256,1.805,0.255,Darwin-London,1988-09-01
Uk,15,0.0,0.017,Darwin-Manchester,1988-09-01
Italy,29,0.0,0.0,Darwin-Rome,1988-09-01
Singapore,2291,114.498,0.182,Darwin-Singapore,1988-09-01
New Zealand,419,2.004,0.0,Hobart-Auckland,1988-09-01
New Zealand,781,2.535,0.034,Hobart-Christchurch,1988-09-01
United Arab Emirates,109,73.03,0.048,Melbourne-Abu Dhabi,1988-09-01
Netherlands,815,13.031,8.186,Melbourne-Amsterdam,1988-09-01
Greece,3565,8.787,5.742,Melbourne-Athens,1988-09-01
New Zealand,17251,853.436,18.823,Melbourne-Auckland,1988-09-01
Bahrain,110,4.553,1.913,Melbourne-Bahrain,1988-09-01
Thailand,8624,308.157,14.37,Melbourne-Bangkok,1988-09-01
Yugoslavia,1869,66.548,2.874,Melbourne-Belgrade,1988-09-01
India,223,23.494,0.632,Melbourne-Bombay,1988-09-01
New Zealand,8552,335.431,4.475,Melbourne-Christchurch,1988-09-01
Sri Lanka,49,0.296,0.076,Melbourne-Colombo,1988-09-01
Indonesia,9512,14.776,1.317,Melbourne-Denpasar,1988-09-01
United Arab Emirates,21,133.829,0.082,Melbourne-Dubai,1988-09-01
Germany,3352,706.81,45.054,Melbourne-Frankfurt,1988-09-01
Zimbabwe,1,0.0,0.0,Melbourne-Harare,1988-09-01
Hong Kong,13614,921.783,21.867,Melbourne-Hong Kong,1988-09-01
Usa,7737,220.574,13.258,Melbourne-Honolulu,1988-09-01
Indonesia,1550,220.249,1.725,Melbourne-Jakarta,1988-09-01
Malaysia,5464,181.345,5.784,Melbourne-Kuala Lumpur,1988-09-01
Uk,7296,278.916,43.463,Melbourne-London,1988-09-01
Usa,7624,725.136,18.223,Melbourne-Los Angeles,1988-09-01
Uk,340,0.63,1.413,Melbourne-Manchester,1988-09-01
Philippines,3646,176.024,1.197,Melbourne-Manila,1988-09-01
Fiji,6552,68.073,2.372,Melbourne-Nadi,1988-09-01
Japan,961,6.663,0.075,Melbourne-Nagoya,1988-09-01
Nauru,0,0.0,0.0,Melbourne-Nauru,1988-09-01
Usa,144,0.0,0.0,Melbourne-New York,1988-09-01
New Caledonia,391,8.816,0.023,Melbourne-Noumea,1988-09-01
Tahiti,555,11.579,0.0,Melbourne-Papeete,1988-09-01
Papua New Guinea,34,0.0,0.0,Melbourne-Port Moresby,1988-09-01
Italy,3454,91.176,3.865,Melbourne-Rome,1988-09-01
Usa,2297,177.367,18.393,Melbourne-San Francisco,1988-09-01
Singapore,18375,787.522,49.338,Melbourne-Singapore,1988-09-01
Japan,3527,289.734,23.49,Melbourne-Tokyo,1988-09-01
Canada,574,0.026,1.03,Melbourne-Vancouver,1988-09-01
New Zealand,4342,157.115,4.201,Melbourne-Wellington,1988-09-01
New Zealand,2308,13.785,0.925,Norfolk Island-Auckland,1988-09-01
United Arab Emirates,24,17.5,0.0,Perth-Abu Dhabi,1988-09-01
Netherlands,93,5.452,0.099,Perth-Amsterdam,1988-09-01
Greece,214,0.0,0.0,Perth-Athens,1988-09-01
New Zealand,6431,168.26,7.408,Perth-Auckland,1988-09-01
Bahrain,57,19.68,0.9,Perth-Bahrain,1988-09-01
Thailand,3167,44.146,0.666,Perth-Bangkok,1988-09-01
India,89,0.0,0.15,Perth-Bombay,1988-09-01
New Zealand,775,2.5,0.1,Perth-Christchurch,1988-09-01
Indonesia,6740,40.202,0.042,Perth-Denpasar,1988-09-01
Germany,470,0.025,0.389,Perth-Frankfurt,1988-09-01
Zimbabwe,1354,19.875,0.427,Perth-Harare,1988-09-01
Hong Kong,4676,126.258,1.222,Perth-Hong Kong,1988-09-01
Usa,258,0.0,0.0,Perth-Honolulu,1988-09-01
Indonesia,814,101.21,0.234,Perth-Jakarta,1988-09-01
Malaysia,6124,293.715,1.713,Perth-Kuala Lumpur,1988-09-01
Uk,5881,81.872,14.931,Perth-London,1988-09-01
Usa,285,0.0,0.0,Perth-Los Angeles,1988-09-01
Uk,294,0.003,0.611,Perth-Manchester,1988-09-01
Usa,1,0.0,0.0,Perth-New York,1988-09-01
Italy,441,1.156,0.099,Perth-Rome,1988-09-01
Usa,165,0.0,0.355,Perth-San Francisco,1988-09-01
Singapore,21003,1061.348,13.899,Perth-Singapore,1988-09-01
Japan,1343,27.215,1.716,Perth-Tokyo,1988-09-01
Canada,38,0.0,0.0,Perth-Vancouver,1988-09-01
Indonesia,509,0.0,0.0,Port Hedland-Denpasar,1988-09-01
United Arab Emirates,549,67.573,0.343,Sydney-Abu Dhabi,1988-09-01
Netherlands,1456,11.232,13.954,Sydney-Amsterdam,1988-09-01
Western Samoa,681,2.582,0.366,Sydney-Apia,1988-09-01
Greece,3893,10.222,3.987,Sydney-Athens,1988-09-01
New Zealand,69204,2749.848,79.3,Sydney-Auckland,1988-09-01
Bahrain,241,12.546,1.306,Sydney-Bahrain,1988-09-01
Thailand,11040,328.636,27.169,Sydney-Bangkok,1988-09-01
China,2074,41.579,0.0,Sydney-Beijing,1988-09-01
Yugoslavia,2042,70.149,3.528,Sydney-Belgrade,1988-09-01
India,2529,102.042,1.455,Sydney-Bombay,1988-09-01
New Zealand,18641,480.32,10.361,Sydney-Christchurch,1988-09-01
Sri Lanka,35,0.81,0.104,Sydney-Colombo,1988-09-01
Indonesia,8716,67.227,1.132,Sydney-Denpasar,1988-09-01
United Arab Emirates,86,32.756,0.107,Sydney-Dubai,1988-09-01
Germany,4349,286.944,46.439,Sydney-Frankfurt,1988-09-01
Zimbabwe,1924,71.146,1.044,Sydney-Harare,1988-09-01
Hong Kong,24416,1099.071,9.643,Sydney-Hong Kong,1988-09-01
Solomon Islands,3,0.0,0.0,Sydney-Honiara,1988-09-01
Usa,22481,443.93,48.783,Sydney-Honolulu,1988-09-01
Indonesia,3950,297.223,3.894,Sydney-Jakarta,1988-09-01
Malaysia,5484,240.61,15.279,Sydney-Kuala Lumpur,1988-09-01
Uk,14706,574.595,73.72,Sydney-London,1988-09-01
Usa,19979,1489.012,63.409,Sydney-Los Angeles,1988-09-01
Uk,525,3.18,2.627,Sydney-Manchester,1988-09-01
Philippines,5709,255.374,6.798,Sydney-Manila,1988-09-01
Fiji,12307,335.017,8.468,Sydney-Nadi,1988-09-01
Japan,2748,2.745,0.124,Sydney-Nagoya,1988-09-01
Nauru,0,0.0,0.0,Sydney-Nauru,1988-09-01
India,2104,83.371,0.0,Sydney-New Delhi,1988-09-01
Usa,433,0.0,0.0,Sydney-New York,1988-09-01
New Caledonia,4770,116.757,5.213,Sydney-Noumea,1988-09-01
American Samoa,1666,9.52,0.049,Sydney-Pago Pago,1988-09-01
Tahiti,3181,76.078,2.446,Sydney-Papeete,1988-09-01
France,524,59.195,0.779,Sydney-Paris,1988-09-01
Papua New Guinea,3604,127.418,26.004,Sydney-Port Moresby,1988-09-01
Vanuatu,1404,11.891,1.217,Sydney-Port Vila,1988-09-01
Cook Islands,343,0.58,0.087,Sydney-Rarotonga,1988-09-01
Italy,3601,113.798,8.035,Sydney-Rome,1988-09-01
Usa,10810,336.823,59.736,Sydney-San Francisco,1988-09-01
Singapore,29730,1174.828,53.82,Sydney-Singapore,1988-09-01
Japan,35312,2214.971,83.071,Sydney-Tokyo,1988-09-01
Canada,1112,108.145,0.093,Sydney-Toronto,1988-09-01
Canada,2972,99.323,11.547,Sydney-Vancouver,1988-09-01
Austria,1134,20.934,0.0,Sydney-Vienna,1988-09-01
New Zealand,12478,443.016,13.589,Sydney-Wellington,1988-09-01
New Zealand,1356,42.371,0.0,Townsville-Auckland,1988-09-01
Thailand,13,0.0,0.0,Townsville-Bangkok,1988-09-01
Germany,91,0.076,0.0,Townsville-Frankfurt,1988-09-01
Uk,168,0.004,0.0,Townsville-London,1988-09-01
Uk,10,0.0,0.0,Townsville-Manchester,1988-09-01
Singapore,650,7.416,0.0,Townsville-Singapore,1988-09-01
United Arab Emirates,8,20.0,0.0,Adelaide-Abu Dhabi,1988-10-01
Netherlands,11,0.0,0.0,Adelaide-Amsterdam,1988-10-01
Greece,36,0.0,0.0,Adelaide-Athens,1988-10-01
New Zealand,1595,68.677,3.133,Adelaide-Auckland,1988-10-01
Bahrain,22,0.348,0.0,Adelaide-Bahrain,1988-10-01
Thailand,53,0.0,0.0,Adelaide-Bangkok,1988-10-01
India,25,0.089,0.0,Adelaide-Bombay,1988-10-01
New Zealand,44,0.0,0.0,Adelaide-Christchurch,1988-10-01
Germany,194,0.003,0.0,Adelaide-Frankfurt,1988-10-01
Hong Kong,157,0.0,0.0,Adelaide-Hong Kong,1988-10-01
Usa,70,0.0,0.0,Adelaide-Honolulu,1988-10-01
Uk,2151,78.899,7.086,Adelaide-London,1988-10-01
Usa,128,0.0,0.0,Adelaide-Los Angeles,1988-10-01
Uk,160,0.0,0.233,Adelaide-Manchester,1988-10-01
New Caledonia,1,0.0,0.0,Adelaide-Noumea,1988-10-01
Tahiti,3,0.0,0.0,Adelaide-Papeete,1988-10-01
Italy,67,0.0,0.0,Adelaide-Rome,1988-10-01
Usa,103,0.0,0.0,Adelaide-San Francisco,1988-10-01
Singapore,7741,441.974,4.648,Adelaide-Singapore,1988-10-01
Japan,5,0.0,0.0,Adelaide-Tokyo,1988-10-01
United Arab Emirates,14,0.4,0.0,Brisbane-Abu Dhabi,1988-10-01
Netherlands,89,0.123,0.0,Brisbane-Amsterdam,1988-10-01
Greece,90,0.0,0.0,Brisbane-Athens,1988-10-01
